cell_line_id,cell_line_name,organ,site_type,disease,age,sex,category,species
CVCL_B7MW,"Mel Ku,Mel-Ku-77",Skin,In situ,"Cutaneous melanoma,Melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_VU92,"BB90-MEL,BB 90 MEL,DEZE",,,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_8471,C918,,,"Uveal melanoma,Uveal melanoma",60Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C7UB,1141 mel,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_6900,"EOM-29,EOM29","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",87Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_6901,"EOM-3,EOM3","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",62Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C7UC,2130 mel,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_ZT01,2599T,Skin,In situ,"Hereditary melanoma,Familial melanoma",27Y,Male,Finite cell line,Homo sapiens (Human)
CVCL_ZT02,3012T,Skin,In situ,"Hereditary melanoma,Familial melanoma",25Y,Male,Finite cell line,Homo sapiens (Human)
CVCL_ZT03,3072T,Skin,In situ,"Hereditary melanoma,Familial melanoma",40Y,Female,Finite cell line,Homo sapiens (Human)
CVCL_ZT04,3190T,Skin,In situ,"Hereditary melanoma,Familial melanoma",21Y,Male,Finite cell line,Homo sapiens (Human)
CVCL_ZT05,3191T,Skin,In situ,"Hereditary melanoma,Familial melanoma",23Y,Female,Finite cell line,Homo sapiens (Human)
CVCL_ZT06,3248T,Skin,In situ,"Hereditary melanoma,Familial melanoma",26Y,Male,Finite cell line,Homo sapiens (Human)
CVCL_C7UD,37165 mel,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C7UE,4022 mel,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C7UF,4330 mel,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C7UG,48409 mel,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_X144,HL165,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",32Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_8607,"92-1 [Human uveal melanoma],92_1,92.1,921","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",76Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C300,"92-2 [Human uveal melanoma],92_2,92.2","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",76Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C4PP,92.1-A,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",76Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C4PQ,92.1-B,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",76Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_M215,"IPC-211,IPC 211",,,"Uveal melanoma,Uveal melanoma",35Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_M216,"IPC-227E,IPC 227e",,,"Uveal melanoma,Uveal melanoma",48Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_M217,"IPC-227F,IPC 227F",,,"Uveal melanoma,Uveal melanoma",48Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_M218,"IPC-281,IPC 281",,,"Uveal melanoma,Uveal melanoma",30Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_8472,M619,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C7UH,"MEL15765,15765 mel",Liver,Metastatic,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_8473,"Mel20-06-039,MEL20-06-039",,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_8474,"Mel20-06-045,MEL20-06-045",,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_8475,"Mel20-07-070,MEL20-07-070",,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_D714,Mel20-08-128,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_D715,Mel20-09-196,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C301,"Mel202,MEL202,Mel-202,Mel 202,mel-202,EST128","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C302,"Mel270,MEL270,Mel-270,Mel 270","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C303,"Mel285,MEL285,Mel-285,Mel 285","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C304,"Mel290,MEL290,Mel-290,Mel 290,MEL 290","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_7080,"MKT-BR,MKTBR,MkTBr",,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_4D15,MM28,Liver,Metastatic,"Uveal melanoma,Uveal melanoma",72Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_4D16,MM33,Skin,Metastatic,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_4D17,MM66,Liver,Metastatic,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_4D11,MP38,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_4D12,MP41,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",49Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_E8SW,"MP41/GFP,MP41 / GFP","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",49Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_E8SX,"MP41/Luciferase,MP41 / Luciferase","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",49Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_E8SY,"MP41/Luciferase-2A-GFP,MP41 / Luciferase & GFP","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",49Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_E8SZ,"MP41/RFP,MP41 / RFP","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",49Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_4D13,MP46,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",69Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_4D14,MP65,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",42Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_YL63,MU2,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_YL05,MU2F,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_YL64,MU7,,,"Uveal melanoma,Uveal melanoma",18Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_YL65,MU8 [Human uveal melanoma],,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_3447,"MuM-2B,MUM-2B,MUM2B,Mum2B",,,"Uveal melanoma,Uveal melanoma",Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_6936,"OCM-2,OCM2,Ocular Choroidal Melanoma-2",,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_X145,OM421,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",66Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_J308,"OM431,OM-431","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",44Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_X146,OM439,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",78Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_X147,OM443,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",62Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_X148,OM449,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",75Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_J309,OM464,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_J310,OM467,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_J311,OM482,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_6939,"OMM-1,OMM1,Omm1",Hypodermis,Metastatic,"Uveal melanoma,Uveal melanoma",74Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_6940,"OMM-2,OMM2",Hypodermis,Metastatic,"Uveal melanoma,Uveal melanoma",72Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_6941,"OMM-3,OMM3",Hypodermis,Metastatic,"Uveal melanoma,Uveal melanoma",72Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C305,"OMM2.2,OMM2_2,OMM 2-2",Liver,Metastatic,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C306,"OMM2.3,Omm2.3,OMM2_3,OMM-2.3,OMM 2-3,OMM1.3,Omm1_3,OMM1_3",Liver,Metastatic,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C307,"OMM2.5,Omm2.5,OMM2_5,OMM25,OMM1.5,Omm1_5",Liver,Metastatic,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C308,"OMM2.6,OMM2_6,OMM 2-6",,,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C8VM,"SOM 157d,157d",,,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C8VN,"SOM 196b,SOM-196b,196b","Eye, choroid",In situ,"Uveal melanoma,Uveal melanoma",80Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_7997,"SP-6.5,SP 6.5,SP6.5,SP6_5","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",77Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_W928,"SP-8.0,SP8.0","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",48Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C7VZ,T105,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C7W0,T122,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C7W1,T127,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C7W2,T130,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C7W3,T142,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",54Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C7W4,T143,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",55Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_B6PW,"TJU-UM001,UM001,Thomas Jefferson University-Uveal Melanoma 001",Liver,Metastatic,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_B6PZ,"TJU-UM001-tdTomato,UM001-tdTomato",Liver,Metastatic,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_B6PX,"TJU-UM003,UM003,Thomas Jefferson University-Uveal Melanoma 003",Retroperitoneal space,Metastatic,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_B6PY,"TJU-UM004,UM004,Thomas Jefferson University-Uveal Melanoma 004",Eye socket,Metastatic,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_A685,TP17,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",69Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_W950,TP31,"Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",62Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_R739,"UMT2,Uveal Melanoma Tubingen 2","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",35Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_R740,"UMT26,Uveal Melanoma Tubingen 26","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",73Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_R741,"UMT33,Uveal Melanoma Tubingen 33","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",71Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_C7RM,"UMT42,Uveal Melanoma Tubingen 42","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C297,"UPMD-1,UPMD1,Uveal Primary Melanoma with Disomy-3 1","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C298,"UPMD-2,UPMD2,Uveal Primary Melanoma with Disomy-3 2","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C299,"UPMM-1,UPMM1,Uveal Primary Melanoma with Monosomy-3 1","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C294,"UPMM-2,UPMM2,Uveal Primary Melanoma with Monosomy-3 2","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C295,"UPMM-3,UPMM3,Uveal Primary Melanoma with Monosomy-3 3","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C296,"UPMM-4,UPMM4,Uveal Primary Melanoma with Monosomy-3 4","Eye, uvea",In situ,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_J307,"VUP-1,VUP 1,VUP",,,"Uveal melanoma,Uveal melanoma",63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_VP04,"VUP-1 V+B2,V+B2",,,"Uveal melanoma,Uveal melanoma",63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_VP05,"VUP-1 V+D9H,V+D9H",,,"Uveal melanoma,Uveal melanoma",63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_VP03,"VUP-1 V-C10,V-C10",,,"Uveal melanoma,Uveal melanoma",63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_VN99,"VUP-1 V-D9,V-D9",,,"Uveal melanoma,Uveal melanoma",63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_J305,VUP15,,,"Uveal melanoma,Uveal melanoma",63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_J306,VUP20,,,"Uveal melanoma,Uveal melanoma",63Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_0B74,"WM3618F,WM3618",Right axillary lymph node,Metastatic,"Uveal melanoma,Uveal melanoma",Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_0B81,"WM3772F,WM3772",Lung,Metastatic,"Uveal melanoma,Uveal melanoma",Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_K005,YUCRENA,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_K010,YUGLIDE,,,"Uveal melanoma,Uveal melanoma",Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_VU91,"AVL3-MEL,AVL3-Mel",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_U803,BA,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_M777,BB132-MEL,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_9U99,"BE [Human melanoma],BEmel",Lymph node,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_U802,"BL,BLmel,BL mel",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_1E39,"BO #2,BO 2,BO-2",Inguinal lymph node,Metastatic,Melanoma,29Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_C7SB,BOL #1,Axillary lymph node,Metastatic,Melanoma,45Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_E7UK,BOWES CXCR3 clone #1,,,Melanoma,Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_E7UL,BOWES CXCR3 clone #2,,,Melanoma,Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_E7UM,BOWES CXCR3 clone #3,,,Melanoma,Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_E7UN,"BOWES pCMV6 clone #1,BOWES PCMV6",,,Melanoma,Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_A0LF,"Bowes/sf,Bowes/serum-free",,,Melanoma,Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_LF98,"BRL-4143,BRL 4143,BRL4143,Bionetics Research Laboratories-4143",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_B4K3,"BRL-6005,BRL 6005,BRL6005,Bionetics Research Laboratories-6005",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_B4K4,"BRL-6278,BRL 6278,BRL6278,Bionetics Research Laboratories-6278",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_VP96,"BUMA 31,BUMA31",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_B4K8,"C001,C001M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI31,"C002,C002M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_B4KF,C003,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI32,C004,Not specified,Metastatic,Melanoma,42Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_B4KI,C004-2,Not specified,Metastatic,Melanoma,42Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_B4K9,"C006,C006M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI33,C008,Not specified,Metastatic,Melanoma,65Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_EI34,"C011,C011M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI35,"C013,C013M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_B4KA,"C016,C016M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI36,"C017,C017M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI37,"C021,C021M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI38,"C022,C022M1",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI39,"C025,C025M1",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI40,"C027,C027M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI41,C028,Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_B4KH,C028-2,Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI42,"C037,C037M",Not specified,Metastatic,Melanoma,27Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_EI43,C038,Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI44,C042,Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_B4KJ,C042-2,Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI45,"C044,C044M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_B4KK,C045,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI46,C052,Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI47,"C054,C054M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_VK09,"C055,CO55-M1,C055M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI48,"C057,C057M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI49,"C058,C058M",Not specified,Metastatic,Melanoma,39Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_EI50,"C060,C060M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI51,"C062,C062M2",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI52,"C065,C065M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI53,"C067,C067M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI54,"C071,C071M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_B4KB,"C074,C074M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_B4KC,"C076,C076M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI55,"C077,C077M1",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI56,C078,Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI57,C081,Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI58,C083,Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI59,"C084,C084M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI60,"C086,C086M",Not specified,Metastatic,Melanoma,27Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_B4KD,"C088,C088M1",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_B4KL,C088-2,Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI61,"C089,C089M",Not specified,Metastatic,Melanoma,50Y,Female,Cancer cell line,Homo sapiens (Human)
CVCL_EI62,"C091,C091M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI63,"C092,C092M",Not specified,Metastatic,Melanoma,51Y,Male,Cancer cell line,Homo sapiens (Human)
CVCL_B4KE,"C094,C094M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI64,C096,Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI65,C097,Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI66,"C100,C100M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C6NM,C101,Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_EI67,"C106 [Human melanoma],C106M",Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_C6NN,C108 [Human melanoma],Not specified,Metastatic,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_4Z02,C8054,Axillary lymph node,Metastatic,Melanoma,Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_4Z03,C8130,Lymph node,Metastatic,Melanoma,Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_4Z04,"C8146A,C81-46A",Hypodermis,Metastatic,Melanoma,Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_4Z05,"C8146C,C8146c,C81-46C",Hypodermis,Metastatic,Melanoma,Age unspecified,Female,Cancer cell line,Homo sapiens (Human)
CVCL_4Z06,C8157,Supraclavicular lymph node,Metastatic,Melanoma,Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_4Z07,C822,Axillary lymph node,Metastatic,Melanoma,Age unspecified,Male,Cancer cell line,Homo sapiens (Human)
CVCL_4Z08,"C827A,C82-7A,C82-7A1",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_4Z09,"C832C,C83-2CY,C83-2C",,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
CVCL_4Z10,C8442,,,Melanoma,Age unspecified,Sex unspecified,Cancer cell line,Homo sapiens (Human)
